,title,author,rating,language,release_date,runtime
0,Atomic Habits,James Clear,5.0,English\n,10-16-18\n, 5 hrs and 35 mins
1,Spare,Prince Harry The Duke of Sussex,5.0,English\n,01-10-23\n, 15 hrs and 39 mins
2,Daisy Jones & The Six,Taylor Jenkins Reid,4.5,English\n,03-05-19\n, 9 hrs and 3 mins
3,Lessons in Chemistry,Bonnie Garmus,2.0,English\n,04-05-22\n, 11 hrs and 55 mins
4,The Wedding Veil,Kristy Woodson Harvey,5.0,English\n,03-29-22\n, 11 hrs and 24 mins
5,The Subtle Art of Not Giving a F*ck,Mark Manson,4.0,English\n,09-13-16\n, 5 hrs and 17 mins
6,Never Finished,David Goggins,5.0,English\n,12-06-22\n, 11 hrs and 6 mins
7,It Ends with Us,Colleen Hoover,4.5,English\n,08-02-16\n, 11 hrs and 11 mins
8,I\'m Glad My Mom Died,Jennette McCurdy,2.0,English\n,08-09-22\n, 6 hrs and 26 mins
9,Someone Else\'s Shoes,Jojo Moyes,5.0,English\n,02-07-23\n, 12 hrs and 21 mins
10,"Harry Potter and the Sorcerer\'s Stone, Book 1",J.K. Rowling,4.5,English\n,11-20-15\n, 8 hrs and 18 mins
11,Remarkably Bright Creatures,Shelby Van Pelt,5.0,English\n,05-03-22\n, 11 hrs and 16 mins
12,Verity,Colleen Hoover,4.5,English\n,05-07-19\n, 8 hrs and 10 mins
13,Can\'t Hurt Me,David Goggins,4.5,English\n,11-28-18\n, 13 hrs and 37 mins
14,Demon Copperhead,Barbara Kingsolver,4.5,English\n,10-18-22\n, 21 hrs and 3 mins
15,It Starts with Us,Colleen Hoover,4.5,English\n,10-18-22\n, 8 hrs and 41 mins
16,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.5,English\n,06-13-17\n, 12 hrs and 10 mins
17,12 Rules for Life,"['Jordan B. Peterson', 'Norman Doidge MD']",4.5,English\n,01-23-18\n, 15 hrs and 40 mins
18,Greenlights,Matthew McConaughey,4.0,English\n,10-20-20\n, 6 hrs and 42 mins
19,8 Rules of Love,Jay Shetty,4.5,English\n,01-31-23\n, 10 hrs and 11 mins
