,job_title,company_name,work_location
0,Graduate - Data Science Analyst,Volkswagen Group of America - Chattanooga...,Remote
1,Manager,Sephora USA,"Remote in San Francisco, CA 94105
+1 location"
2,Computational Biologist / Data Scientist,Inceptive,"Remote in Palo Alto, CA"
3,Data Scientist,"Kyndryl, Inc.","Remote in New York, NY"
4,Data Science Associate (Remote),pulseData,"Remote in New York, NY"
5,Senior Data Analyst,Harvest NYC,Remote
6,Director of Artificial Intelligence,Sticker Mule,Remote
7,Data Analyst,National University,Remote
8,Junior Data Analyst,Aptive,Remote
9,Data Science Admissions Specialist (Part-time),Pathrise,Remote
10,Operations Analyst | Ecommerce Policy and Risk,TELUS International,Remote
11,Data Scientist,Patrick J McGovern Foundation,Remote
12,Data Science Manager,Spotify,"Remote in New York, NY"
13,Graduate - Data Science Analyst,Volkswagen Group of America,Remote
14,Strategy Analyst,Patrick J McGovern Foundation,Remote
15,Data Scientist,Advance Local,Remote
16,Associate Data Scientist,Polco,Remote
17,Data Scientist,Live Nation,"Remote in Beverly Hills, CA 90210"
18,Junior Data Scientist,Augray,"Remote in Brookfield, WI"
19,Principal Data Science,Discover Financial Services,"+2 locations
Remote"
20,Data Scientist,Procal Technologies,Remote
21,Data Scientist,New Directions Staffing,Remote
22,Clinical Data Analyst,Truveta,"Remote in Seattle, WA"
23,Data Science Educator - Python (Full Time),RStudio,Remote
24,Analyst I,"Health Services Advisory Group, Inc.",Remote
25,Staff Business Systems Analyst - Data Science,TriNet,Remote
26,Data Scientist,PUTNAM RECRUITING GROUP,Remote
27,Data Scientist,CVS Health,"Remote in Jersey City, NJ
+1 location"
28,Data Scientist,Ancestry,"+1 location
Remote"
29,Research Scientist,Meta,Remote
30,Data Scientist - REMOTE,John Deere,"Remote in Moline, IL
+1 location"
31,Data Scientist,Kershner Trading Group,"Remote in Austin, TX 78758"
32,Data Scientist I,MedImpact Healthcare Systems,Remote
33,Assistant Data Scientist (Genomic) - Epigenetics & Molecular Carcinogenesis (Ting Laboratory),MD Anderson Cancer Center,"Remote in Houston, TX 77030
+6 locations"
34,Data Science Manager,Parker,"Remote in New York, NY"
35,Staff Data Scientist,Devoted Health,"+1 location
Remote"
36,Senior Data Science QA Engineer,Ancestry,Remote
37,Data Science Analyst,Mercer,"Remote in Franklin, MA 02038"
38,Data Scientist,Great American Custom,"Remote in Los Angeles, CA"
39,AI engineer,Sticker Mule,Remote
40,Data Analyst,Propel Together,Remote
41,Data Architect - Data Analytics and Data Science - Remote,UnitedHealth Group,"Remote in Minnetonka, MN 55345
+1 location"
42,Principal Data Scientist,Devoted Health,Remote
43,Financial Data Analyst,"Big Fish Games, Inc.","Remote in Las Vegas, NV 89135"
44,Data Scientist,US Office of Federal Contract Compliance Programs,"Remote in Wallops Island, VA"
45,Senior Data Scientist,The College Board,Remote
46,Data Scientist,Agile SDE,Remote
47,Producer - Data Science,Brilliant,"Remote in San Francisco, CA"
48,Health Data Visualization Analyst (Remote position),Teacher Retirement System of Texas,"Remote in Austin, TX 78701"
49,Senior Healthcare Data Analyst,Clarify Health Solutions.,Remote
50,Director,Rhino New York,Remote
51,Senior Data Science Manager,KeyBank,"Remote in Brooklyn, OH 44144"
52,Data Scientist,Ntropy Network,"Remote in New York, NY"
53,Data Science Agile Project Manager,MultiPlan Inc.,Remote
54,Digital Transformation/Data Science Student Employee,Electric Power Research Institute,Remote
55,Sr. Data Scientist II (Remote),CrowdStrike,Remote
56,Associate Data Scientist (Remote),Freenome Holdings,"Remote in South San Francisco, CA 94080
+1 location"
57,Data Scientist I,Apollo Medical Holdings,Remote
58,Data Engineer,Intermountain Healthcare,"Remote in Murray, UT"
59,Director,Moen,"Remote in North Olmsted, OH 44070"
60,Manager of Data Science,PayPal,"Remote in Chicago, IL"
61,Data Science,eBay Inc.,"Remote in San Jose, CA
+1 location"
62,Remote - AFC Modelling - Data - Assistant Vice President,Deutsche Bank,"Remote in Jacksonville, FL"
63,Associate Data Scientist - Online Business Analytics (Remote),Home Depot / THD,"Remote in Atlanta, GA 30301
+3 locations"
64,Data Science Consultant - Remote,EPAM Systems,Remote
65,Senior Data Analyst,Firsthand,Remote
66,Applied Data Scientist,Webstaurant Store,"Remote in Lititz, PA 17543"
67,Senior Data Engineer,Kensho,Remote
68,Data Specialist,Turvo Inc,Remote
69,Senior Staff Data Scientist: Computer Vision & Robotics AI-Remote,Siemens Healthineers,"Remote in Tarrytown, NY 10591"
70,Director,Premier Nutrition,"Remote in Emeryville, CA 94608"
71,Data Scientist,"Lotic.ai, Inc.",Remote
72,Data Scientist,Assetario,Remote
73,Senior Advisor,Northwell Health,"Remote in New Hyde Park, NY 11042"
74,Global Data Analytics and USCAN Leader,GE Healthcare,Remote
